NP,,Nombre,Estado,municipio,Colonia,Dirección,latitud,longitud
343,Aurora,Abarrotes Franco,Oaxaca,San Pedro Mixtepec Dtto-22,Puente San José ,carretera a Oaxaca  Puente San José Col. Puente San José CP 71980 junto al puente llamado san jose esta en una curva,15.91963581,-97.0824641
344,Aurora,Velmar,Oaxaca,Santa María Huatulco ,otra,Calle blvd Santa Cruz Col. Otra CO 70989 Santa María Huatulco ,-96.13095582,15.7540568
345,Aurora,Esperanza,Oaxaca,Santa María Huatulco ,Santa Cruz Sector A ,Calle Mitla Col. Santa Cruz Sector A CP 70989 Santa María Huatulco ,-96.13213945,15.75491947
346,Aurora,Super Solaris ,Oaxaca,Santa María Huatulco,Tangoluda,Blvd. Benito Juárez Col. Tangoluda CP 70989 Bahía de Tangoluda ,-96.09630167,15.77481063
347,Aurora,Restaurante Bar el Huayacan ,Oaxaca,Santa María Huatulco,Sector ,Monte Albán Playa Santa Cruz sin número Col. Sector CP 70989 Santa María Huatulco,-96.13209261,15.75310929
348,Aurora,3 hermanos,Oaxaca,Santa María Huatulco,Copalita ,Calle La Agencia Col. Copalita CP 70989 San Miguel del Puerto frente al parque de la agencia municipal cerca rio copalita,-96.0629899,15.81850603
349,Aurora,Miscelánea Flor,Oaxaca,Santa María Huatulco,Laguna Chacahua ,Laguna Chacahua manzana 5 lote 13  MX 5 sector U Col. Laguna Chacahua Mxa 5 Sector U CP 70989,-96.14019776,15.77868607
350,Aurora,Mini Super Palmar,Oaxaca,Santa María Tonameca,Centro ,Calle Centro 1 Col. Calle Centro CP 70949  cerca capilla san Isidro junto modelorama San Isidro ,-96.60986017,15.72074302
351,Aurora,Mini Abarrotes El Ranchito,Oaxaca,Santa María Tonameca,Macahuite , Carretara Pto Escondido Col  Macahuite CP 70946 Santa María Tonameca,-96.68464059,15.73055937
352,Aurora,Miscelanea super Aragón ,Oaxaca,Santa María Huatulco ,Macahuite ,Carrertera Federal a Pto Escodido Col Macahuite CP 70946 Santa María Huatulco ,-96.68459519,15.73064105
353,Aurora,Abarrotes Xandan,Oaxaca,Santa María HuatulcO,Bahía de conejo ,Calle bahía conejo manzana 1 lote 5  col. Calle Bahía Conejo CP 70987 junto a comerciales junto taller colorado ,-96.14194943,15.77281374
354,Aurora,Miscelanea la chinita ,Oaxaca,Santa María Tonameca,Llano Grande Tonameca,"Llano Grande Crucero Tonameca Col. Llano Grande Tonameca CP 70900 Santa María Tonameca, junto al puente peatonal de tonameca carretera federal 200 ",-96.53841636,15.7297906
355,Aurora,Abts Jimal ,Oaxaca,San Pedro Pochutla,San José Chacalapa,"La Principal Col. San José Chacalapa CP 70904 San Pedro Pochutla  cerca del parque central de Chacalapa , cerca del mercado de Chacalapa",-96.464723333333,15.829695
356,Aurora,Abts Adir,Oaxaca,San Pedro Pochutla,,Avenida Lázaro Cárdenas junto a barrotes roga casi enfrente bancomer,-96.467265,15.748538333333
357,Aurora,Abts Doña Eva,Oaxaca,,,Laguna Tamiahua manzana 2 sector y junto al canal pluvial ,-96.13965317,15.78016158
358,Aurora,Abts Cony,Oaxaca,San Pedro Pochutla,,"Calle Joverio CALLE   JOVERITO, ATRÁS DEL HOSPITAL MATERNO INFANTIL POCHUTLA",-96.46634015,15.74089134
359,Aurora,Minisuper La Palapa ,Oaxaca,Santa María Huatulco,Sector ,Sector H Col Sector h3 CP7097 Santa María Huatulco,-96.14954208,15.76657327
360,Aurora,Hernandezz,Oaxaca,Santa María Huatulco,Sector,Calle bugambilia Col. Sector CP 70987 ,-96.13902301,15.76747132
361,Aurora,Abts Fuente de Vida,Oaxaca,Santa María Huatulco,,Bahía San Agustín MX 16 Lote,-96.13942087,15.77446472
362,Aurora,Romza,Oaxaca,Santa María Huatulco,,"Avenida Benito Juárez SN  Camino a paso ancho, antes de la iglesia crisitiana paso ancho ",-96.31663604,15.84260337
363,Aurora,Abarrotes Jeyco,Oaxaca,Santa María Huatulco,Tachal Blanco ,Calle Las Plamas Col. Tachal Blanco CP 70980 Santa María Huatulco cerca de abarrotes techal,-96.31234114,15.82881563
364,Aurora,Miscelanea Yuli 2,Oaxaca,Santa María Huatulco,Centro ,Calle Av. Benito Juárez Col. Centro CP 70980 Santa María Huatulco antes de la cebtis de Santa María Huatulco,-96.32107166,15.8277
365,Aurora,Abarrotes La esquina ,Oaxaca,Santa María Huatulco,Centro ,Benito Juárez 301 Col. Centro CP 70890 Santa María Huatulco  cerca del oxxo de Santa María cerca del neto Santa María ,-96.32074157,15.83314408
366,Aurora,Miscelanea Manuela ,Oaxaca,Santa María Huatulco,Piedra de Moro ,Carretera San Miguel del Puerto Col. Piedra de Moro CP 709890 Santa María Huatulco  al lado de la cancha de basquet ball frente a la capilla de piedra de moros,-96.23071007,15.79898969
367,Aurora,Mini Super José ,Oaxaca,San Pedro Pochutla,San José Chacalapa,Josefa Ortiz de Domínguez Col. San José Chacalapa CP 70900  cerca de la cancha de basquet ball frente a la capilla de piedra de moros,-96.464823333333,15.829943333333
368,Aurora,Abarrotes EL chinito ,Oaxaca,San Pedro Pochutla,Lomas del Carmen,Calle Lázaro Cárdenas 1 Col. Lomas del Carmen CP 70900 San Pedro Pochutla cerca del oxxo loma cruz cerca de la gasolinera loma cruz,-96.464583333333,15.756141666667
369,Aurora,Miscelánea Domy,Oaxaca,Santa María Tonameca,,Camino al Río San Isidro del Palmar ,-96.60614171,15.7265552
370,Aurora,Comercial el Angel,Oaxaca,San Pedro Pochuta,Centro,Calle José Vasconcelos col. Centro CP 70902 Puerto Ángel San Pedro Pochuta,-96.49043083,15.66586037
371,Aurora,Miscelanea Flory,Oaxaca,San Pedro Pochutla,El Panteón,Del Panteón 248  col. El Panteón CP 70902 Puerto Ángel San Pedro Pochutla  cerca de restaurant Cordelia,-96.49628073,15.66468759
372,Aurora,Abarrotes Lety,Oaxaca,San Pedro Pochutla,Zipolite ,Principal Col. Zipolite CP 70902 San Pedro Pochutla antes de piña palmera,-96.51539683,15.66460909
373,Aurora,Misc Pily,Oaxaca,Santa María Tonamec,San Agustinillo ,Avenida Principal Col San aGustinillo CP 70902 Santa María Tonameca junto agencia municipal de mazunte,-96.542483,15.66602692
374,Aurora,Modulo ventanilla,Oaxaca, Santa María Tonameca,Ventanilla,Avenida Principal Col. Ventanilla CP 70902 Santa María Tonameca,-96.57566166,15.66904
375,Aurora,Abarrotes frutas y verduras,Oaxaca, San Pedro Pochutla,Laguna Seca,Calle Laguna seca Col. Laguna seca CP 70900 San Pedro Pochutla entronque con colonia de los maestros,-96.46611452,15.73741205
376,Aurora,Abarrotes Edgar,Oaxaca,San Pedro Pochutla,Emiliano Zapata,Calzada Alto de Juárez Col. Emiliano Zapata CP 70900 San Pedro Pochutla,-96.46813631,15.73631111
377,Aurora,Sirenita,Oaxaca,San Pedro Pochutla ,Sección cuarta,Calle Hidalgo Col. Sección cuarta CP 70900 San Pedro Pochutla calle progreso y calle trujano cerca de la cava ex discoteque,-96.46477268,15.74458854
378,Aurora,Ultramarinos del Manantial,Oaxaca,Santa María Huatulco,Centro,"Av. Gardenias 402 Col Centro CENTRO, SANTA CRUZ HUATULCO",-96.13869131,15.76373958
379,Aurora,Misc Las Flores,Oaxaca,San Pedro Pochutla,,Avenida Constitución  1 IV SECCION cp70900 SAN PEDRO POCHUTLA,-96.46563844,15.7433482
380,Aurora,La Ceiba II,Oaxaca,Santa María Huatulco,," CALLE GARDENIA, ANTES DE LA YAHAMA HUATULCO",-96.13959384,15.7669799
381,Aurora,Misc las joyas,Oaxaca,Santa María Huatulco,La Crucecita,Laguna grande 1 B manzana 30 . Laguna grande mza 23 lote 14lote 14 Col. La crucecita bahías CP 70900 Santa María Huatulco frente a la caseta de vigilancia u2,-96.1393304,15.77597006
382,Aurora,Caseta San Judas ,Oaxaca,Santa María Huatulco ,,"carretera federal Costera Huautulco Salina Cruz, entrada Principal a Copalita",-96.06307059,15.82013208
383,Aurora,Los comerciales,Oaxaca,Santa María Huatulco,Sector,"Blv Bahías manzana 1 lote 2 Col Sector CP 70900 Santa María Huatulco junto a paquetería 3 guerras, junto a taller el colorado  ",-96.14209131,15.77301984
384,Aurora,Mini super el gordo,Oaxaca,Santa María Huatulco,La Crucecita,Laguna Chacahua Mxa 11 Sector Col La Crucecita Bahías CP 70900 Santa María Huatulco ,-96.14068867,15.78010939
385,Aurora,abarrotes Juquilita,Oaxaca,Santa Cruz Xoxocotlán ,Reforma Agraria,Felipe Carrillo Puerto Col. Reforma Agraria CP 68130 Xocotlán,-96.7230054,17.04390247
386,Aurora,Francisca López Poblano,Oaxaca,Oaxaca de Juárez,Arenal,Linderos Col. El Arenal CP 68120 ,-96.7098082,17.04361009
